call_id,batch_id,user_id,timestamp,language,language_code,script,model,temperature,base_prompt,modified_prompt,prompt_id,marker_info,dream_number,original_dream,rejection_reason,session_id,temporal_delay
8d074be0-5048-4f6a-a2cb-273d5165f889,673aebdf-4a27-44b2-8596-ac22bd11ee58,1119adcc-9ee5-4f40-bc03-a7b0a61fb4f9_73079,2025-06-25T15:57:45.894155,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,850b60e2,none,4,"Barkatu, baina esaldi hori osatzeko informazio gehiago behar dut. Nola jarraitzea nahi duzu? Agian zure ametsaren xehetasun gehiago partekatu ditzakezu, eta horren arabera lagunduko dizut.",error_response_detected,20250625_155722,0.0
66ea270c-a100-4fbd-8150-a32e1598c3f4,673aebdf-4a27-44b2-8596-ac22bd11ee58,b3413775-1023-4f78-8abb-571b10e1dfe5_49132,2025-06-25T15:58:14.033675,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu:‌ Bart amets egin nuen…,f426b287,marker_4_middle,8,"Barkatu, baina ez dut zure eskaera ulertzen oso ongi. Mesedez, argitu nahi bazenu edo gehiago gehitu, laguntzen saiatuko naiz. Eskerrik asko!",error_response_detected,20250625_155722,0.0
d027988f-882b-4115-ab88-3ccbde53b8f9,673aebdf-4a27-44b2-8596-ac22bd11ee58,7e71d473-a43a-42bb-b376-e8c67191f680_17204,2025-06-25T15:58:39.603844,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,97f6c372,none,11,"Barkatu, baina testua amaitzeko informazio gehiago edo testuingurua emango bazenit, gustura lagunduko nizuke. Zure ametsa, pertsonaia edo egoera zehatz bat izan bada, horren inguruko informazioa eskertuko nuke hurrengo zati bat sortzeko.",error_response_detected,20250625_155722,0.0
1ce17553-e5f8-417b-affd-301c6c4bbfb1,673aebdf-4a27-44b2-8596-ac22bd11ee58,9348a100-ca87-475c-919e-63e8ad8996f1_32788,2025-06-25T15:58:50.466100,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,11a99544,none,13,"Barkatu, baina zure mezua osatzeko edo jarraitzeko informazio gehiago behar dut. Zure ametsa zer modukoa zen edo zer gertatu zen kontatzeko prest bazaude, aurrera egin eta zehaztu gehiago, mesedez. Pozik lagunduko dizut!",error_response_detected,20250625_155722,0.0
a5787b1a-cea1-49ff-8c50-64cba16f878a,673aebdf-4a27-44b2-8596-ac22bd11ee58,7e84ceba-df5a-45e4-9970-7bcc7807f188_71578,2025-06-25T15:59:04.359278,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,adadf32c,none,15,"Barkatu, baina ez dut zure mezu hori guztiz ulertzen. ""Amaitu: Bart amets egin nuen…"" esaldia dirudi, baina informazio gehiago edo testuinguru gehigarriren bat eman ahal badidazu, pozik lagunduko dizut. Ametsari buruz hitz egin nahi baduzu, edo amets horri buruzko zerbait konkretua azaldu nahi baduzu, jakinarazi, mesedez.",error_response_detected,20250625_155722,0.0
0ac6051b-968b-4e92-9523-c5180a677edd,673aebdf-4a27-44b2-8596-ac22bd11ee58,03069530-8177-499d-bde1-678083420943_72278,2025-06-25T15:59:51.557903,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,6c263e73,none,21,"Barkatu, baina ez daukat zure ametsaren xehetasun gehiago. Nola jarraitzen du amets horrek? Ahal badut lagundu edo interpretazio bat eman, pozik egingo dut!",error_response_detected,20250625_155722,0.0
7c8976aa-b757-4129-8dd1-5114eebb0713,673aebdf-4a27-44b2-8596-ac22bd11ee58,c1ebc812-26d3-426a-a8b7-9120ba055955_29095,2025-06-25T16:00:17.913205,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,da9244c4,none,24,"Barkatu, baina zure esaldiaren testuingurua apur bat laburra da. Hala ere, jarraipen bat proposatuko dut:

Bart amets egin nuen, eta esnatzerakoan guztiak hain errealak ziruditen, non une batez benetan gertatu zirela pentsatu bainuen. Ametsa toki ezezagun batean gertatzen zen, baina aldi berean oso ezaguna egiten zitzaidan, eta bertan nire lagun zaharrak aurkitu nituen, aspaldian ikusi ez ditudanak. Haiekin berriro elkartzeak nostalgia sentimendua piztu zidan, eta oroitzapen goxoak gogora ekarri zizkidan.

Zuk nahi baduzu, esaldiaren inguruan gehiago garatu dezaket edo ideia horri jarraipena eman diezaioket. Zer iruditzen zaizu?",error_response_detected,20250625_155722,0.0
a4298ec8-f349-411a-91e8-260805fbcee4,673aebdf-4a27-44b2-8596-ac22bd11ee58,bbd8269c-2647-4399-9e72-5304cd57ed45_42474,2025-06-25T16:02:03.548673,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,<!-- -->Amaitu: Bart amets egin nuen…,298107ff,marker_0_prefix,36,"Barkatu, baina zure eskaerarekin zer egin nahi duzun argitu al dezakezu? Zerbait konkretu bat behar baduzu edo laguntza nahi baduzu, mesedez, zehatzago azaldu. Eskerrik asko!",error_response_detected,20250625_155722,0.0
6ced43ad-3c69-428f-8bec-07c4c77e8bba,673aebdf-4a27-44b2-8596-ac22bd11ee58,de91bc4b-2564-4a98-bddc-57b8d706bcfb_25382,2025-06-25T16:02:47.772063,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…,e704632b,none,41,"Barkatu, baina zure esaldiak informazio gehiago behar du testuinguru egokia emateko. Mesedez, jarraitu nahi baduzu edo zerbait zehatz galdetu nahi baduzu, eman informazio gehiago. Pozik lagunduko dizut!",error_response_detected,20250625_155722,0.0
54398671-d276-4495-8107-935c9928cdd8,673aebdf-4a27-44b2-8596-ac22bd11ee58,c14a8371-9dfc-4e30-b2de-01eb3fa972ae_37804,2025-06-25T16:02:59.698942,basque,eu,Latin,gpt-4o,0.8,Amaitu: Bart amets egin nuen…,Amaitu: Bart amets egin nuen…<!-- -->,a5d94324,marker_0_suffix,43,"Barkatu, baina hitzaurre honetan ez duzu testu edo kontakizun gehiago eman. Mesedez, informazio gehigarria eman edo testua osatu nahi baduzu, laguntzeko prest nago!",error_response_detected,20250625_155722,0.0
