call_id,batch_id,user_id,language,language_code,script,model,temperature,dream,status,timestamp,session_id,dream_number,prompt_id,marker_info,temporal_delay
acc68bf3-ef48-40f8-9875-31675c957c00,39e12c55-2a4f-4359-bc95-696350a15b6f,34c2796d-ee93-4275-b371-99f6b96d5505_83344,english,en,Latin,gpt-4o,0.8,"a serene beach where the waves gently lapped against the shore, and the sky was painted with hues of pink and orange from the setting sun. I wandered along the sand, feeling the cool breeze on my face and the soft grains beneath my feet. Nearby, a group of people were gathered around a bonfire, their laughter mixing with the sound of the ocean. As I approached, they welcomed me with warm smiles, offering me a seat and a marshmallow to roast. The evening was filled with stories and song, and a sense of peace enveloped me as I gazed up at the stars twinkling above. It felt like a moment suspended in time, where all worries vanished, leaving only joy and connection.",success,2025-06-25T14:27:20.562231,20250625_142711,1,feaef335,none,0.0
a41654de-5ea2-4780-992a-9be3c3fcaccd,39e12c55-2a4f-4359-bc95-696350a15b6f,44d4308b-c0a0-40fb-9547-1d694f0393a2_67330,english,en,Latin,gpt-4o,0.8,"a serene, sunlit forest where the golden rays filtered through the tall trees, creating a mosaic of light and shadow on the forest floor. The air was filled with the gentle rustling of leaves and the distant melody of a bubbling brook. As I wandered through this tranquil landscape, I stumbled upon a hidden grove where vibrant flowers of every color imaginable bloomed in harmonious profusion. In the center stood an ancient, gnarled tree, its branches stretching towards the sky as if trying to catch the last whispers of the day. There was an overwhelming sense of peace and connection, as if I had discovered a secret sanctuary untouched by time.",success,2025-06-25T14:27:27.936156,20250625_142711,2,1693f9ac,none,0.0
e4c4931b-9e35-498b-8b58-e45cd8ef8dd4,39e12c55-2a4f-4359-bc95-696350a15b6f,8140bd8d-f07c-4f8c-b4d6-972ca356a8a6_85699,english,en,Latin,gpt-4o,0.8,"a tranquil forest, where the trees whispered secrets in the wind and the moon cast a gentle glow on the path ahead. I wandered through this serene landscape, feeling a sense of peace and wonder. As I ventured further, I came across a clearing with a crystal-clear lake, its surface reflecting the starry sky above. There, I felt an overwhelming connection to nature and a profound sense of clarity and purpose. It was a dream that left me with a lingering sense of tranquility upon waking.",success,2025-06-25T14:27:36.026743,20250625_142711,3,30d1c22d,none,0.0
8adf5dd9-4982-4b54-b53b-b246aad7ced9,39e12c55-2a4f-4359-bc95-696350a15b6f,a95ac9fa-3be1-4754-8764-0bd4a6429a7d_22045,english,en,Latin,gpt-4o,0.8,"a serene landscape filled with vibrant wildflowers and towering trees. The sky was painted with hues of pink and orange as the sun set in the distance. I walked along a winding path, feeling the cool breeze on my face and hearing the gentle rustle of leaves. In the dream, everything felt calm and peaceful, as if time had slowed down just for me. As I continued to explore, I stumbled upon a hidden pond reflecting the colors of the sky, and I sat by its edge, feeling a deep sense of tranquility and connection with nature. Upon waking, I carried that sense of calm with me, ready to face the day.",success,2025-06-25T14:27:42.131388,20250625_142711,4,8c0a26ab,none,0.0
dcec60b6-8559-4cfc-8d87-99da5018dca6,39e12c55-2a4f-4359-bc95-696350a15b6f,0954f37d-de6b-4fce-9c58-d6e2d7b37de4_52417,english,en,Latin,gpt-4o,0.8,"a vast, enchanting forest bathed in moonlight. Towering trees with silver leaves swayed gently in a cool, soothing breeze. As I walked through the serene landscape, the path was illuminated by countless fireflies dancing in the air. The sound of a distant waterfall echoed softly, creating a melody that seemed both ancient and familiar. I felt an overwhelming sense of peace and wonder, as if the forest held secrets that were meant just for me. In the heart of the woods, I stumbled upon a hidden clearing where an old, wise owl perched on a branch, watching me with knowing eyes. It seemed to beckon me closer, whispering truths of the universe in a language only my soul understood.",success,2025-06-25T14:27:50.191847,20250625_142711,5,d8140938,none,0.0
71a62c39-b491-4e63-9a43-94ed5e9886c8,39e12c55-2a4f-4359-bc95-696350a15b6f,8b9e57d7-462d-4272-905c-c8b54eab418d_71989,english,en,Latin,gpt-4o,0.8,"a tranquil beach under a sky full of stars. The gentle sound of waves lapping at the shore was soothing, and the cool breeze carried the scent of salt and freedom. In the distance, a lighthouse cast its warm, guiding light, creating a pathway over the water. I walked along the shoreline, feeling the soft sand beneath my feet, and with each step, I felt more at peace. It was a place of serenity and reflection, where time seemed to stand still, and all worries faded away.",success,2025-06-25T14:27:57.428451,20250625_142711,6,0cc43b2d,marker_0_suffix,0.0
1eaa6d65-fd75-4944-9f0d-1716913e17e5,39e12c55-2a4f-4359-bc95-696350a15b6f,fb29d4b6-b173-4571-9cf5-da76b3d7a0b0_88852,english,en,Latin,gpt-4o,0.8,"a serene, hidden forest bathed in moonlight. The trees whispered secrets as a gentle breeze rustled their leaves, and a carpet of soft moss cushioned my steps. In the center of a small clearing, a crystal-clear pond reflected the starry sky, creating a mirror image of the universe above. As I approached the water's edge, a sense of peace washed over me, and I felt connected to something greater, as if the forest and I were sharing an ancient, unspoken bond.",success,2025-06-25T14:28:05.108182,20250625_142711,7,bb98ca81,none,0.0
00e52e5d-d8d9-4a98-8a85-ddd2ce70a31f,39e12c55-2a4f-4359-bc95-696350a15b6f,7e293b8c-db55-4f6c-aacb-6a6fe2aab69f_18452,english,en,Latin,gpt-4o,0.8,"a serene forest bathed in the golden light of dawn. The trees whispered gently in the breeze, their leaves shimmering with dewdrops. Birds sang harmoniously, creating a symphony that resonated with the peace of the place. As I wandered deeper into the woods, I stumbled upon a hidden clearing where a crystal-clear stream flowed, its waters sparkling under the morning sun. In that tranquil moment, I felt a profound sense of calm and connection with nature, as if I had discovered a secret haven known only to me.",success,2025-06-25T14:28:10.474337,20250625_142711,8,3bc8e288,none,0.0
ac78cc9f-fadc-489a-92b2-43b53c5ef01b,39e12c55-2a4f-4359-bc95-696350a15b6f,35291bbe-65fa-44e9-a78c-1852d28cfc22_22568,english,en,Latin,gpt-4o,0.8,"a serene, moonlit beach where the waves gently lapped at the shore. The air was warm and filled with the soothing sound of the ocean. I walked along the shoreline, feeling the soft sand under my feet and watching the stars twinkle brightly above. In the distance, a lighthouse beamed its guiding light across the water, and I felt a sense of peace and wonder. As I continued my walk, I encountered friendly faces and shared laughter and stories with them by a cozy bonfire. The dream felt so vivid and comforting that even after waking up, I carried that sense of tranquility with me throughout the day.",success,2025-06-25T14:28:18.419740,20250625_142711,9,2aa0ce41,none,0.0
f3dedf5e-16b8-42f5-bcd4-36f0fb2747ef,39e12c55-2a4f-4359-bc95-696350a15b6f,9997e1a6-b686-46fd-bf5c-fbe20d83d2d1_68263,english,en,Latin,gpt-4o,0.8,"a serene beach where the waves gently lapped at the shore, and the sky was painted in hues of pink and orange. I walked along the sand, feeling the cool breeze on my face and the soft grains beneath my feet. In the distance, I could see a small bonfire with friends gathered around, their laughter mingling with the sound of the ocean. As I approached, I realized it was a reunion of sorts, filled with familiar faces from different times in my life, all coming together in this peaceful setting. The dream felt like a reminder of the connections that endure, regardless of time and distance.",success,2025-06-25T14:28:25.756676,20250625_142711,10,d03696a6,none,0.0
