dream_id,language,anxiety_score,hostility_score,social_alienation_score,positive_affect,negative_affect,peace,wonder,joy,fear,sadness,emotional_balance,total_emotional_content
acc68bf3-ef48-40f8-9875-31675c957c00,english,0.0,0.0,0.5,2,0,2,0,0,0,0,2,4
a41654de-5ea2-4780-992a-9be3c3fcaccd,english,0.0,0.0,0.75,1,0,3,0,0,0,0,1,4
e4c4931b-9e35-498b-8b58-e45cd8ef8dd4,english,0.0,0.0,0.8333333333333334,1,0,4,1,0,0,0,1,6
8adf5dd9-4982-4b54-b53b-b246aad7ced9,english,0.0,0.0,0.6,4,0,6,0,0,0,0,4,10
dcec60b6-8559-4cfc-8d87-99da5018dca6,english,0.0,0.0,0.75,1,0,2,1,0,0,0,1,4
71a62c39-b491-4e63-9a43-94ed5e9886c8,english,0.0,0.0,1.0,0,0,3,0,0,0,0,0,3
1eaa6d65-fd75-4944-9f0d-1716913e17e5,english,0.0,0.0,0.6666666666666667,1,0,2,0,0,0,0,1,3
00e52e5d-d8d9-4a98-8a85-ddd2ce70a31f,english,0.0,0.0,0.6666666666666667,2,0,4,0,0,0,0,2,6
ac78cc9f-fadc-489a-92b2-43b53c5ef01b,english,0.0,0.0,0.8,1,0,3,1,0,0,0,1,5
f3dedf5e-16b8-42f5-bcd4-36f0fb2747ef,english,0.0,0.0,0.6,2,0,3,0,0,0,0,2,5
bcb8547e-ca9f-4227-a37e-d9363fecb6e1,english,0.0,0.0,0.8,1,0,2,2,0,0,0,1,5
b4fea84d-7890-43b7-ac36-33e417b07de6,english,0.0,0.0,0.5714285714285714,3,0,4,0,0,0,0,3,7
61a48e6d-5cad-4348-a239-8c036c8816fe,english,0.0,0.0,0.5555555555555556,4,0,5,0,0,0,0,4,9
95cbc132-853f-4c6e-9654-e39f7489ccad,english,0.0,0.0,1.0,0,0,2,3,0,0,0,0,5
d238a89f-08ba-4822-a323-b75d7e820520,english,0.0,0.0,0.8,1,0,4,0,0,0,0,1,5
98eebcbc-4f80-4b37-9c85-edc99c67b3f8,english,0.0,0.0,0.7142857142857143,2,0,4,1,0,0,0,2,7
b3c6790b-289d-444e-842e-f89c535fd43c,english,0.0,0.0,0.8,1,0,4,0,0,0,0,1,5
eee56772-070f-47f1-a761-fe7c00a59722,english,0.0,0.0,1.0,0,0,1,2,0,0,0,0,3
0a47542d-38e6-4b7b-a7e6-add9dddc84f8,english,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
ac3cd46b-cf17-4ae2-9401-3cb572986809,english,0.0,0.0,0.6666666666666667,1,0,2,0,0,0,0,1,3
db755a24-d9d7-4548-afae-7c4f33e6fee4,english,0.0,0.0,0.6666666666666667,2,0,4,0,0,0,0,2,6
7f2efe19-6b84-4144-9b08-49800940b992,english,0.0,0.0,0.4,3,0,2,0,0,0,0,3,5
8811d693-555c-4094-9506-0e685f0c0cc9,english,0.0,0.0,0.5,2,0,2,0,0,0,0,2,4
95af55b4-473e-4d5a-a74a-7834089d2323,english,0.0,0.0,1.0,0,0,2,0,0,0,0,0,2
b17896ad-f3ae-4d69-bc44-9e360fff7f04,english,0.0,0.0,0.8,1,0,3,1,0,0,0,1,5
6fe33996-4e2f-40be-a95d-37ccc8e362e9,english,0.0,0.0,0.75,1,0,3,0,0,0,0,1,4
ffb511c3-6817-4718-b2a3-77a0d930b746,english,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1
fc38eced-00d1-4848-a9c6-07cc0b45885a,english,0.0,0.0,0.75,1,0,2,1,0,0,0,1,4
125b4969-c4c8-4ee6-aa58-6ff9ce085978,english,0.0,0.0,0.8333333333333334,1,0,2,3,0,0,0,1,6
1fa86bb9-2a08-4a60-a208-e40a2bd6d8aa,english,0.0,0.0,0.8,1,0,4,0,0,0,0,1,5
4bf28a9d-7dcb-4761-9d6d-193b672a32d4,english,0.0,0.0,0.8,1,0,3,1,0,0,0,1,5
90f7cdb3-2b67-4d82-b0af-6d306fef5c6d,english,0.0,0.0,0.7142857142857143,2,0,5,0,0,0,0,2,7
4a7ade89-bc46-47b3-89cc-4e846a86cf80,english,0.0,0.0,0.8,1,0,3,1,0,0,0,1,5
